ID	Lat	Lon	Average	Variance	Votes	Geograph URI
59	51.3477	-0.987598	5.1250	7.1094	7,7,9,3,2,1,7,5	http://www.geograph.org.uk/photo/448
60	51.3569	-1.01612	4.4286	0.5306	4,5,5,3,5,4,5	http://www.geograph.org.uk/photo/449
61	51.3479	-1.01631	3.5714	2.2449	2,5,4,4,2,6,2	http://www.geograph.org.uk/photo/450
62	54.9338	-4.8021	4.1111	3.2099	5,3,6,2,3,1,6,5,6	http://www.geograph.org.uk/photo/460
63	53.2762	-1.91751	5.8750	9.3594	7,4,3,10,2,3,10,8	http://www.geograph.org.uk/photo/493
64	53.6922	-0.750459	1.7500	0.1875	1,2,2,2	http://www.geograph.org.uk/photo/496
65	56.0196	-6.25302	7.3333	2.8889	9,5,8	http://www.geograph.org.uk/photo/540
66	55.8039	-6.00745	6.8000	4.9600	9,6,3,9,7	http://www.geograph.org.uk/photo/547
67	55.6969	-5.27994	5.8000	2.1600	5,7,4,5,8	http://www.geograph.org.uk/photo/574
69	53.0302	-0.487808	4.2500	3.1875	4,7,4,2	http://www.geograph.org.uk/photo/580
70	51.5613	-3.24798	6.7500	1.6875	4,7,7,7,6,9,7,7	http://www.geograph.org.uk/photo/584
71	51.301	-0.802126	1.6000	0.2400	2,1,2,1,2	http://www.geograph.org.uk/photo/587
72	52.2916	-0.951553	3.9412	3.9377	5,5,2,2,4,3,5,10,5,4,3,1,5,2,3,3,5	http://www.geograph.org.uk/photo/617
73	58.3829	-3.27418	6.5000	3.0000	7,10,6,4,6,8,5,6	http://www.geograph.org.uk/photo/675
74	54.9661	-4.08557	7.6250	3.2344	8,10,8,8,5,10,7,5	http://www.geograph.org.uk/photo/690
75	52.3319	-2.25684	4.2000	4.1600	8,3,4,2,4	http://www.geograph.org.uk/photo/697
76	52.3769	-2.22772	2.5556	0.6914	2,3,3,2,3,3,1,2,4	http://www.geograph.org.uk/photo/699
77	52.903	-0.951723	4.0000	4.5714	3,3,1,5,9,4,4,6,1,5,4,4,1,6	http://www.geograph.org.uk/photo/700
78	52.3679	-2.22767	4.7143	3.3469	7,2,5,2,6,6,5	http://www.geograph.org.uk/photo/715
79	55.3561	-1.9653	4.8000	1.3600	6,4,3,6,5	http://www.geograph.org.uk/photo/726
80	57.5794	-7.46386	4.8750	4.6094	4,4,6,9,7,2,3,4	http://www.geograph.org.uk/photo/743
81	51.3472	-0.930167	6.6000	3.8400	6,7,10,4,6	http://www.geograph.org.uk/photo/757
